County,heart,medcare_full_cov_amt,Population,CrimeRatePer100K,state,Max AQI
2010_al_baldwin,209.44545454545457,34792.0,5441,7829.4434,al,150
2011_al_baldwin,203.87272727272727,36462.0,1505,863.78735,al,126
2012_al_baldwin,200.1181818181818,38286.0,7095,183.22763,al,112
2013_al_baldwin,203.61818181818182,40109.0,1595,815.04706,al,87
2014_al_baldwin,198.9090909090909,41776.0,17914,1858.8813,al,112
2011_al_clay,66.28888888888889,3125.0,2407,124.63648,al,86
2012_al_clay,64.14444444444445,3161.0,2394,125.313286,al,72
2013_al_clay,62.64444444444444,3245.0,2283,131.40604,al,65
2014_al_clay,59.14444444444444,3376.0,1967,7422.471,al,70
2010_al_colbert,182.29999999999998,12287.0,1011,18595.45,al,105
2011_al_colbert,154.42222222222222,12507.0,8464,82.70322,al,101
2012_al_colbert,149.8777777777778,12698.0,8469,82.65438,al,136
2013_al_colbert,129.6222222222222,12877.0,724,966.8508,al,80
2014_al_colbert,124.57777777777778,13083.0,20537,1270.877,al,87
2010_al_dekalb,143.23333333333332,12840.0,723,35961.273,al,101
2011_al_dekalb,160.75555555555556,13171.0,1993,702.4586,al,101
2012_al_dekalb,147.07777777777778,13531.0,2362,592.718,al,115
2013_al_dekalb,153.10000000000002,13863.0,1978,707.78564,al,93
2014_al_dekalb,130.4888888888889,14262.0,557,45780.97,al,90
2010_al_elmore,225.96999999999997,12391.0,4819,4150.239,al,112
2011_al_elmore,199.44,12892.0,51399,11.673379,al,105
2012_al_elmore,191.68,13557.0,1244,482.3151,al,100
2013_al_elmore,225.66666666666666,14090.0,4830,124.2236,al,87
2014_al_elmore,182.75,14447.0,1233,2595.296,al,84
2010_al_etowah,274.69,21811.0,36856,645.7565,al,104
2011_al_etowah,261.77,22200.0,37033,24.302649,al,99
2012_al_etowah,211.41,22795.0,1708,585.4801,al,87
2013_al_etowah,179.22,23324.0,36610,27.31494,al,90
2014_al_etowah,141.32,23620.0,5193,3158.0974,al,97
2010_al_houston,198.09,18687.0,26770,683.6011,al,115
2011_al_houston,194.78,19210.0,334,2694.6106,al,100
2012_al_houston,197.48,19770.0,1304,690.1841,al,97
2013_al_houston,216.26999999999998,20313.0,2425,371.13403,al,84
2014_al_houston,214.71999999999997,20784.0,2164,4205.1753,al,80
2010_al_jefferson,169.19230769230768,107191.0,1859,44378.7,al,166
2011_al_jefferson,157.72307692307692,109139.0,11171,2121.5647,al,182
2012_al_jefferson,151.2076923076923,111481.0,82332,310.93622,al,172
2013_al_jefferson,153.3846153846154,113902.0,84139,292.37332,al,129
2014_al_jefferson,140.96153846153845,116001.0,4430,14108.353,al,112
2010_al_lawrence,170.75,6516.0,27975,518.31995,al,59
2011_al_lawrence,154.07999999999998,6729.0,612,980.3922,al,82
2012_al_lawrence,148.85,6908.0,1098,546.44806,al,58
2013_al_lawrence,139.83999999999997,7101.0,607,988.4679,al,62
2014_al_lawrence,120.92,7315.0,1075,4372.0933,al,83
2010_al_madison,130.9923076923077,45278.0,42938,176.99939,al,136
2011_al_madison,126.8153846153846,46775.0,43145,16.22436,al,126
2012_al_madison,112.32307692307693,48909.0,816,857.8432,al,147
2013_al_madison,109.8153846153846,50955.0,114778,6.09873,al,90
2014_al_madison,92.56923076923077,52969.0,2796,3147.3533,al,97
2010_al_mobile,218.875,65935.0,6168,4555.772,al,140
2011_al_mobile,206.53333333333333,67730.0,1582,695.3224,al,122
2012_al_mobile,197.75,69811.0,251516,4.3734794,al,126
2013_al_mobile,187.1833333333333,71666.0,1924,571.7256,al,90
2014_al_mobile,181.07500000000002,73495.0,1922,11914.672,al,115
2010_al_montgomery,250.06666666666663,33201.0,205764,0.97198737,al,129
2011_al_montgomery,208.50833333333333,33928.0,23713,8.434193,al,108
2012_al_montgomery,205.39999999999998,34870.0,209018,0.95685536,al,102
2013_al_montgomery,219.9416666666667,35825.0,205087,0.9751959,al,87
2014_al_montgomery,201.85,36801.0,25826,77.44134,al,87
2010_al_morgan,224.6,20789.0,724,23480.662,al,108
2011_al_morgan,252.27272727272728,21340.0,2105,332.54156,al,115
2012_al_morgan,236.83636363636361,22065.0,43208,16.200705,al,129
2013_al_morgan,256.56363636363636,22603.0,43035,16.26583,al,87
2014_al_morgan,216.64545454545453,23194.0,14519,1336.1802,al,93
2010_al_russell,371.28000000000003,9067.0,32822,252.87915,al,108
2011_al_russell,369.7,9346.0,23839,12.58442,al,126
2012_al_russell,357.02,9705.0,572,524.4755,al,101
2013_al_russell,348.08,9982.0,37266,8.050234,al,93
2014_al_russell,299.64,10223.0,26936,11.137511,al,108
2010_al_shelby,151.125,23884.0,16793,1470.851,al,156
2011_al_shelby,138.75833333333333,25283.0,4217,260.84894,al,166
2012_al_shelby,118.125,26772.0,4276,257.24976,al,150
2013_al_shelby,106.04166666666667,28063.0,2045,537.89734,al,101
2014_al_shelby,91.43333333333334,29215.0,17700,610.1695,al,119
2010_al_talladega,121.75999999999999,16064.0,12749,1427.5629,al,76
2011_al_talladega,115.95,16781.0,284,2112.676,al,94
2012_al_talladega,102.15,17243.0,281,2491.103,al,77
2013_al_talladega,96.19999999999999,17623.0,16033,43.65995,al,63
2014_al_talladega,81.77000000000001,17865.0,5072,3903.7854,al,79
2010_al_tuscaloosa,142.25454545454545,27960.0,1943,8389.089,al,89
2011_al_tuscaloosa,144.54545454545453,28513.0,76986,6.494687,al,103
2012_al_tuscaloosa,140.33636363636364,29317.0,91973,6.5236535,al,93
2013_al_tuscaloosa,149.12727272727273,30190.0,1543,388.85287,al,71
2014_al_tuscaloosa,130.05454545454546,31098.0,1664,8233.173,al,93
2010_al_walker,108.74444444444444,15737.0,982,23625.254,al,74
2011_al_walker,117.72222222222223,16112.0,2105,475.05942,al,84
2010_az_apache,162.0909090909091,8041.0,61192,382.40292,az,45
2011_az_apache,169.12727272727273,8220.0,4954,4844.5703,az,54
2012_az_apache,178.52727272727273,8528.0,62614,447.18433,az,56
2013_az_apache,181.6727272727273,8805.0,63359,604.4919,az,52
2014_az_apache,203.4272727272727,9166.0,62115,624.6478,az,67
2010_az_cochise,141.60833333333332,23675.0,52410,2018.6987,az,112
2011_az_cochise,139.82500000000002,24168.0,17624,6241.489,az,119
2012_az_cochise,140.96666666666667,24726.0,52333,1945.2354,az,120
2013_az_cochise,178.35833333333335,25407.0,5077,12093.757,az,149
2014_az_cochise,180.53333333333333,26073.0,51016,1183.9424,az,137
2010_az_coconino,155.14166666666668,12611.0,54125,1524.2495,az,136
2011_az_coconino,160.68333333333334,13136.0,66802,1218.5265,az,129
2012_az_coconino,161.84166666666667,13680.0,3059,23569.795,az,133
2013_az_coconino,157.64166666666668,14265.0,54549,1470.2378,az,115
2014_az_coconino,169.64166666666665,14999.0,69490,1102.3169,az,126
2010_az_gila,215.25454545454548,12979.0,27912,2328.7476,az,136
2011_az_gila,225.15454545454543,13256.0,1863,33333.336,az,143
2012_az_gila,212.20909090909092,13565.0,27980,1522.5161,az,160
2013_az_gila,221.94545454545457,13927.0,1793,34132.74,az,276
2014_az_gila,224.26363636363638,14326.0,27945,2157.81,az,150
2010_az_la paz,155.9888888888889,4416.0,1445632,305.40277,az,105
2011_az_la paz,181.37,4531.0,164008,2676.6987,az,136
2012_az_la paz,183.05,4600.0,1485509,297.1372,az,115
2013_az_la paz,199.35,4680.0,456155,987.60284,az,115
2014_az_la paz,202.12,4770.0,164722,2732.4827,az,136
2010_az_maricopa,243.6,464569.0,75230,1350.525,az,165
2011_az_maricopa,275.63125,484174.0,76295,1381.4797,az,565
2012_az_maricopa,275.89375,505968.0,77270,1353.6948,az,268
2013_az_maricopa,276.18125,527184.0,79400,1317.3804,az,187
2014_az_maricopa,282.575,549261.0,28526,3526.6072,az,221
2010_az_mohave,164.84166666666667,47899.0,5053,20423.51,az,38
2011_az_mohave,191.75454545454548,49486.0,9839,10488.871,az,89
2012_az_mohave,163.46666666666667,51233.0,9803,10160.155,az,116
2013_az_mohave,170.49166666666667,52802.0,9326,10669.098,az,127
2014_az_mohave,157.16666666666666,54616.0,68904,1448.392,az,77
2010_az_navajo,174.86666666666667,15575.0,520116,301.85574,az,112
2011_az_navajo,183.125,16157.0,25617,5988.211,az,105
2012_az_navajo,191.09166666666667,16721.0,25736,5867.2676,az,126
2013_az_navajo,186.17499999999998,17452.0,41493,3434.3142,az,100
2014_az_navajo,198.20833333333334,18156.0,527328,275.54007,az,101
2010_az_pima,183.86875,153003.0,11825,11847.78,az,141
2011_az_pima,199.45,158459.0,11992,11907.938,az,144
2012_az_pima,210.4625,164568.0,193911,740.0302,az,143
2013_az_pima,248.63750000000002,170202.0,26682,5681.733,az,312
2014_az_pima,263.58125,176812.0,17001,8758.308,az,129
2010_az_pinal,190.82142857142858,47103.0,20837,1929.2604,az,1657
2011_az_pinal,216.47857142857143,49996.0,21132,1537.9519,az,2212
2012_az_pinal,216.92857142857142,52486.0,21177,1435.5197,az,594
2013_az_pinal,200.35,55448.0,20736,1519.0972,az,902
2014_az_pinal,194.7642857142857,58769.0,892,37780.27,az,881
2010_az_santa cruz,210.75,6137.0,39843,3659.363,az,119
2011_az_santa cruz,219.58333333333334,6415.0,40407,3798.847,az,104
2012_az_santa cruz,230.8166666666667,6732.0,89012,1573.9451,az,107
2013_az_santa cruz,273.23333333333335,7017.0,39209,3593.5625,az,159
2014_az_santa cruz,252.4,7248.0,11490,10330.723,az,199
2010_az_yavapai,153.5,54106.0,14287,4843.564,az,122
2011_az_yavapai,171.13636363636363,56309.0,94381,745.91284,az,126
2012_az_yavapai,175.87272727272727,58848.0,95568,835.0075,az,112
2013_az_yavapai,182.57272727272726,61396.0,96014,758.2228,az,101
2014_az_yavapai,194.35454545454547,63785.0,92075,850.39374,az,140
2010_az_yuma,175.15384615384616,25111.0,13729,2840.7021,az,147
2011_az_yuma,182.3923076923077,25730.0,13923,1465.2014,az,140
2012_az_yuma,184.6769230769231,26529.0,13830,1851.0485,az,166
2013_az_yuma,175.0153846153846,27252.0,13637,2177.8984,az,536
2014_az_yuma,188.46923076923076,28115.0,13728,1755.5361,az,284
2011_ar_arkansas,181.23333333333332,3810.0,3317,6180.283,ar,79
2010_ar_ashley,187.26,4588.0,5507,4812.057,ar,72
2011_ar_ashley,184.62,4678.0,2879,10038.207,ar,95
2012_ar_ashley,192.41,4776.0,2883,9157.128,ar,73
2013_ar_ashley,201.05,4900.0,13222,1943.7302,ar,88
2014_ar_ashley,190.75,4995.0,5339,3446.3384,ar,73
2010_ar_clark,186.65,4047.0,10714,2090.7224,ar,126
