id,Hazardous Days,Max AQI,90th Percentile AQI,Worse_than_average,Abbreviation,medcare_full_cov_amt,BENES_FFS_CNT,MA_enroll_amt,MA_full_cov_enroll_rate,BENE_AVG_AGE,BENE_FEML_PCT,BENE_MALE_PCT,BENE_RACE_WHT_PCT,BENE_RACE_BLACK_PCT,BENE_RACE_HSPNC_PCT,BENE_RACE_OTHR_PCT,BENE_DUAL_PCT,BENE_AVG_RISK_SCRE,TOT_MDCR_PYMT_AMT,TOT_MDCR_STDZD_PYMT_AMT,TOT_MDCR_STDZD_RA_PYMT_AMT,TOT_MDCR_PYMT_PC,TOT_MDCR_STDZD_PYMT_PC,TOT_MDCR_STDZD_RA_PYMT_PC,state,Population,#Crimes,Off0,Off1,Off2,Off3,CrimeRatePer100K,heart
2014_ca_yolo,0,101,60,1,ca,24834.0,12332.0,12502.0,0.5034,71.0,0.5279,0.4721,0.7109,0.0267,0.1692,0.0933,0.2221,0.9,1.0255724894E8,7.714403608E7,8.939426301E7,8316.35,6255.6,7248.97,ca,26283,1140,109,398,387,246,4337.4043,239.5071428571429
2014_ct_litchfield,0,129,58,1,ct,35280.0,27701.0,7579.0,0.2148,73.0,0.5592,0.4408,0.9434,0.0108,0.0155,0.0303,0.266,0.99,2.8210727332E8,2.3853411851E8,2.5365321629E8,10184.01,8611.03,9156.83,ct,7732,822,47,282,256,237,10631.144,94.5
2013_fl_palm beach,0,104,54,1,fl,272491.0,170538.0,101953.0,0.3742,75.0,0.565,0.435,0.8748,0.0557,0.0464,0.0231,0.1139,1.11,2.08375376024E9,2.01504533352E9,1.98322628877E9,12218.71,11815.81,11629.23,fl,5804,36,0,0,0,36,620.2619,104.77333333333334
2010_ks_neosho,0,47,34,0,ks,3268.0,3137.0,131.0,0.0401,73.0,0.5556,0.4444,0.9633,0.008,0.0191,0.0096,0.189,0.94,2.890442841E7,3.070711581E7,3.249371212E7,9214.04,9788.69,10358.21,ks,6243,135,5,34,31,65,2162.4219,88.05
2011_me_oxford,0,71,44,1,me,12284.0,10786.0,1498.0,0.1219,70.0,0.5359,0.4641,0.9818,0.0019,0.004,0.0123,0.4607,0.88,8.267865515E7,7.732560198E7,8.706453648E7,7665.37,7169.07,8071.99,me,5182,636,8,178,193,257,12273.254,163.4857142857143
2011_ma_berkshire,0,156,72,1,ma,28113.0,27344.0,769.0,0.0274,72.0,0.5617,0.4383,0.9598,0.0162,0.0097,0.0144,0.2583,0.96,2.7388919847E8,2.3792443677E8,2.5427362886E8,10016.43,8701.16,9299.06,ma,2044,1045,91,397,166,391,51125.246,101.80999999999999
2014_nc_cumberland,0,97,64,1,nc,44358.0,33308.0,11050.0,0.2491,69.0,0.5539,0.4461,0.5625,0.3612,0.0355,0.0407,0.2239,1.06,3.0871853567E8,3.0358552958E8,2.9995467764E8,9268.6,9114.49,9005.48,nc,16399,842,118,383,175,166,5134.4595,282.83846153846156
2014_or_linn,0,130,54,1,or,24122.0,11162.0,12960.0,0.5373,69.0,0.5159,0.4841,0.9445,0.0039,0.0202,0.0314,0.224,0.9,8.533435481E7,7.636702948E7,8.953727971E7,7645.08,6841.7,8021.62,or,9081,755,40,272,245,198,8314.0625,226.95999999999998
2011_sd_minnehaha,0,105,61,1,sd,24642.0,21356.0,3286.0,0.1333,72.0,0.5604,0.4396,0.9623,0.0086,0.0063,0.0229,0.1625,0.86,1.7139968197E8,1.6583109033E8,2.0613845842E8,8025.83,7765.08,9652.48,sd,2418,13,0,2,0,11,537.6344,180.975
2014_tx_navarro,0,93,58,1,tx,9085.0,7248.0,1837.0,0.2022,70.0,0.5404,0.4596,0.7855,0.1389,0.0643,0.0113,0.2671,1.0,7.515201833E7,7.708135096E7,7.82453237E7,10368.66,10634.84,10795.44,tx,22922,429,35,126,159,109,1871.5645,300.1272727272727
